row,project,category,subcategory,services,url,final_url,status,title,meta,h1,snippet,predicted_category,flag,error
11,data-innovations.ru,IT и телеком,разработка по,Program,https://data-innovations.ru,https://data-innovations.ru,200,Главная страница - Дата Инноваций,Главная страница - Дата Инноваций,,Продукты Плюс7 ФормИТ Платформа Плюс7 Форсаж Плюс7 Сканеры метаданных Плюс7 МаяК Плюс7 Пульс Плюс7 Смарт Логистик Плюс7 EDM Решения Автоматизация бизнес-процессов Управление данными Управление знаниями и корпоративный портал Истории успеха Промышленность Телекоммуникации Банковский сектор Интеграция данных для Московского кредитного банка Бизнес-Википедия для системообразующего банка​ О компании О компании Новости компании Запросить демо Продукты Плюс7 ФормИТ Платформа Плюс7 Форсаж Плюс7 Сканеры метаданных Плюс7 МаяК Плюс7 Пульс Плюс7 Смарт Логистик Плюс7 EDM Решения Автоматизация бизнес-процессов Управление данными Управление знаниями и корпоративный портал Истории успеха Промышленность Телекоммуникации Банковский сектор Интеграция данных для Московского кредитного банка Бизнес-Википедия для системообразующего банка​ О компании О компании Новости компании Связаться с нами Цифровая экономика Цифровое общество Цифровое государство Связаться с нами Создаем технологии для цифровой России ,Финансы и страхование,category_mismatch_candidate,
12,dis-group.ru,IT и телеком,аналитика и bi,"Program, WD",https://dis-group.ru,https://dis-group.ru,200,DIS Group Главная – DIS Group,DIS Group | DIS Group | Главная – DIS Group,DIS Group – российский лидер в сфере управления данными | Исследование ЦСР подтвердило лидерство DIS Group в управлении данными,"+7 495 645-02-01 info@dis-group.ru Напишите нам Оставить заявку Платформа данных AIDP Роли и отрасли Услуги Истории успеха Партнеры Центр контента О компании Платформа данных AIDP О платформе Российское решение по управлению данными Селена Cверхбыстрая платформа хранения и обработки данных класса Data Lakehouse Юниверс MDM Управление корпоративными мастер-данными Юниверс Юниверс Data Governance Руководство данными Юниверс (Universe Data Governance) Датафлот Репликация Решение для миграции баз и хранилищ данных в новые структуры Плюс7 МаяК Система управления знаниями компании Плюс7 ФормИТ, ETL Промышленное ETL-решение для интеграции, сбора и обмена корпоративными данными, различного формата из гетерогенных источников данных Плюс7 ФормИТ, Data Quality Промышленное решение для проверки и улучшения качества данных Плюс7 ФормИТ, Маскинг данных Решение для создания «фабрики обезличивания» критичных данных Селена Моделирование Продукт предназначен для реверс-инжиниринга существующих баз данны",IT и телеком,,
13,dis-group.world,IT и телеком,аналитика и bi,Program,https://dis-group.world,http://dis-group.world,200,Срок регистрации домена dis-group.world истёк,,Понравился этот домен?,"Домен зарегистрирован в Рег.ру Срок регистрации домена истек. Требуется продление, чтобы возобновить работу домена и его сервисов. dis-group.world Продлить Перехватить Поможем купить Закажите услугу «Доменный брокер» и наши специалисты возьмут весь процесс переговоров на себя. Заказать услугу Подберём похожий Подберите самостоятельно в автоматизированном сервисе наиболее подходящее доменное имя. Подобрать домен Сервисы Рег.ру Определение IP Местоположение по IP Проверка сайта Whois Услуги Рег.ру Хостинг сайтов Классические VPS Облачные VPS Dedicated https://2domains.ru — наш партнёр Новости компаний Новости технологий и медиа",IT и телеком,,
14,luxmsbi.com,IT и телеком,аналитика и bi,WD,https://luxmsbi.com,https://luxmsbi.ru/,200,Luxms BI — платформа бизнес-аналитики,"Luxms BI - мощная BI-платформа для анализа данных, отчетности и прогнозирования. Интерактивные дэшборды и поддержка Big Data. Интеграция с любыми источниками данных в реальном времени.",Luxms BI — платформа бизнес-аналитики,"Меню Продукты Платформа Luxms BI Luxms Data Boring Функционал платформы Подсистемы платформы Фичи платформы Технологии и интеграции Релизы и roadmap FAQ Документация Кейсы Нефтегаз Транспорт и логистика Здравоохранение Финансы Закупки Продажи и маркетинг Промышленность Строительство Телеком Ритейл Услуги Внедрение Техподдержка Обучение Технический аккаунт-менеджмент Миграция с Qlik Миграция с Power BI Импортозамещение SAP Медиа Новости Блог Видео Мероприятия О нас О компании Партнеры Контакты Комьюнити Luxms Получить консультацию Поиск Получить консультацию Получайте ценную информацию, принимайте обоснованные решения и повышайте эффективность бизнеса. Импортозамещение зарубежных систем Встроенный ETL/ELT-инструмент — Luxms Data Boring Удобный инструмент для принятия решений Сильная отраслевая экспертиза Внесен в реестр российского ПО Сертификат ФСТЭК по 4 уровню доверия Запросить демо 20+ лет на рынке ФСТЭК 4 уровня доверия ТОП-3 среди всех BI-систем в исследовании «BI-круг Громова» Пе",IT и телеком,,
15,modelstudiocs.ru,IT и телеком,разработка по,PPC,https://modelstudiocs.ru,https://modelstudiocs.ru,200,Model Studio CS - Лучшие мировые достижения в ИТ,Model Studio CS - Лучшие мировые достижения в ИТ | Model Studio CS - комплексная система информационного моделирования и 3D-проектирования объектов промышленного и гражданского строительства. Готовое решение для проектной организации.,,"Продукты Model Studio CS Водоснабжение и канализация Model Studio CS Генплан Model Studio CS Кабельное хозяйство Model Studio CS Компоновщик щитов Model Studio CS ЛЭП Model Studio CS Молниезащита Model Studio CS ОПС Model Studio CS ОРУ Model Studio CS Отопление и вентиляция Model Studio CS Строительные решения Model Studio CS Технологические схемы Model Studio CS Трубопроводы Model Studio CS Электрика Model Studio CS Электротехнические схемы CADLib Модель и Архив CADLib Персональная модель CADLib Web Решения Жилищное строительство Городская инфраструктура Промышленность Добыча и переработка Энергетика Нефтегазовый комплекс Химическая промышленность Пищевая промышленность Объекты специального назначения Металлургические заводы Объекты атомной энергетики Все решения ... АРМ Генплана (ГП) АРМ Архитектора (АР) АРМ Строителя (КЖ) АРМ Строителя (КМ) АРМ Технолога (ТХ, ТО, ТМ) АРМ Электроснабжение (ЭС, ЭМ, ЭО) АРМ Внутренних сетей (ВК, ОВ) АРМ Наружных сетей (ТС, ЭС, НВК, НПТ, ГС) АРМ Охранно",Промышленность и производство,category_mismatch_candidate,
16,ngenix.net,IT и телеком,облачные сервисы,Program,https://ngenix.net,,,,,,,,unavailable,HTTPError: HTTP Error 503: Service Temporarily Unavailable
17,partners.dis-group.ru,IT и телеком,аналитика и bi,Program,https://partners.dis-group.ru,https://partners.dis-group.ru/auth/,200,DIS Group | Авторизация,,,Вход Логин Пароль Войти У меня нет аккаунта Зарегистрироваться,Авто,category_mismatch_candidate,
18,ryadom.ai,IT и телеком,искусственный интеллект,"PPC, SMM",https://ryadom.ai,https://www.ryadom.ai/,200,Новая система заботы о пожилых близких,,,,IT и телеком,,
19,salute.sber.ru,IT и телеком,искусственный интеллект,LP,https://salute.sber.ru,https://salute.sber.ru,200,Салют — виртуальный ассистент с искусственным интеллектом,"Ассистент Салют от Сбера живёт в умных колонках, телевизорах, приставках и мобильных приложениях | Виртуальный ассистент Салют | Эрудированный Сбер, весёлая Джой и педантичная Афина — кого выберете вы? Доступны в умных устройствах и мобильных приложениях",,"Все устройства Телевизоры Умные колонки Медиацентры Умное кольцо Умный дом Скидки Рассрочка Для бизнеса Поддержка Все устройства Скидки Рассрочка Телевизоры Умные колонки Медиацентры Умное кольцо Умный дом Для бизнеса Поддержка Салют — виртуальный ассистент с искусственным интеллектом. Живёт в умных устройствах и мобильных приложениях Один ассистент — три характера Послушать голос Послушать голос Послушать голос Салют ответит на все вопросы и поддержит разговор на любую тему Мультимодальная нейросеть GigaChat отвечает за воображение ассистента. Пишите код, редактируйте текст и создавайте гениальные идеи для своих проектов вместе с искусственным интеллектом Салют, GigaChat! Переведёт деньги быстро и безопасно Переводите деньги быстро и безопасно с помощью виртуального ассистента в СберБанк Онлайн Салют! Переведи 3 000 ₽ репетитору по рисованию Подберёт музыку по вкусу и расскажет последние новости Салют, включи новый альбом Басты Салют, поставь хиты 2000-х Салют, расскажи новости дня Ум",Культура и досуг,category_mismatch_candidate,
20,tela-telecom.ru,IT и телеком,телеком,"Program, WD",https://tela-telecom.ru,https://www.tela-telecom.ru/,200,Tela – системный интегратор: комплексные IT-решения для бизнеса под ключ,Компания Tela – профессиональный системный интегратор. Предлагаем комплексные IT-решения любой сложности: от аудита и проектирования до запуска и сопровождения. Закажите ИТ-решения под ключ в Москве и Санкт-Петербурге. Оптимальные цены и гарантированный результат.,Tela – мастерство быть рядом,"Решения Каталог Компания Проекты Контакты Сервис Обратная связь Компания для клиентов, которым важен результат, надежность и эмоциональный комфорт О компании Наши решения Надежный технологический партнер, который умеет слышать и находить решения для задач любого масштаба Решения и услуги Системная интеграция Повышение эффективности работы и оптимизация бизнес-процессов Мы предлагаем Индивидуальный подход Учёт экономической целесообразности и эффективность создаваемой инфраструктуры Эффективный менеджмент проектов Сертифицированные специалисты различного профиля Слаженная работа команды Узнать больше 1К+ Заказчиков нам доверяют 45 сотрудников в команде 100+ Авторизаций у ведущих вендоров Информационная безопасность Комплексная защита информации и снижение рисков Мы предлагаем Индивидуальный подход к каждому проекту Оценка угроз и экономическая целесообразность внедряемых решений Эффективное управление ИБ-проектами Сертифицированные специалисты по ключевым направлениям информационной без",Бизнес-услуги,category_mismatch_candidate,
