Запрос,Частотность / спрос,Источник подтверждения,Интент,Кластер,Приоритет,Тип страницы,Комментарий
агентство медицинского маркетинга,Высокий подтвержденный,Google Suggest + Yandex Suggest,коммерческий,медицинский маркетинг,высокий,главная,Самый сильный head-term под позиционирование агентства; уже частично закрыт главной.
медицинский маркетинг,Средний подтвержденный,Google Suggest + Yandex Suggest,околокоммерческий,медицинский маркетинг,средний,услуга,Широкий mixed-intent запрос; годится как hub-страница услуги и экспертного контента.
медицинский маркетинг агентство,Средний подтвержденный,Google Suggest + Yandex Suggest,коммерческий,медицинский маркетинг,высокий,услуга,Коммерческий вариант кластера; стоит вшивать в SEO-блок /services/marketing/.
маркетинг для клиники,Средний подтвержденный,Yandex Suggest,коммерческий,медицинский маркетинг,высокий,услуга,Нормальный B2B-запрос без лишней широты.
маркетинг для клиник,Средний подтвержденный,Yandex Suggest,коммерческий,медицинский маркетинг,средний,услуга,Полезен как вариативное вхождение для той же посадочной.
маркетинг клиники,Низкий подтвержденный,Yandex Suggest,околокоммерческий,медицинский маркетинг,средний,статья,Скорее объясняющий/обзорный запрос; лучше раскрывать статьей и подмешивать в service hub.
маркетинговый аудит клиники,Средний подтвержденный,SERP конкурентов + suggest по head-term «маркетинговый аудит»,коммерческий,аудит / стратегия,средний,подуслуга,Под отдельную диагностическую посадочную; на сайте прямой страницы нет.
продвижение медицинского центра,Средний подтвержденный,Yandex Suggest,коммерческий,seo для клиник,высокий,услуга,Один из самых прикладных SEO-запросов общего медкластера.
продвижение сайта медицинского центра,Средний подтвержденный,Yandex Suggest,коммерческий,seo для клиник,высокий,подуслуга,Логично выделять под отдельный SEO-лендинг или сильный блок внутри /services/seo/.
продвижение сайта клиники,Средний подтвержденный,Google Suggest,коммерческий,seo для клиник,высокий,подуслуга,Хороший конверсионный long-tail; сейчас на сайте нет отдельного URL под exact-кластер.
сео клиники,Низкий подтвержденный,Google Suggest,коммерческий,seo для клиник,средний,услуга,Разговорная форма; полезна для title/H1 и FAQ.
сео продвижение медицинского сайта,Низкий подтвержденный,Yandex Suggest,коммерческий,seo для клиник,средний,подуслуга,"Низкочастотный, но очень точный SEO-терм."
реклама клиники,Высокий подтвержденный,Google Suggest + Yandex Suggest,коммерческий,реклама клиники,высокий,услуга,"Сильный коммерческий head-term; текущая директ-страница может его закрывать, но лучше выделить структуру."
контекстная реклама клиники,Средний подтвержденный,SERP конкурентов,коммерческий,реклама клиники,высокий,подуслуга,"В suggest почти не виден, но в выдаче есть коммерческие страницы агентств; нужен под Яндекс.Директ."
реклама клиники яндекс директ,Средний подтвержденный,Yandex Suggest,коммерческий,реклама клиники,высокий,подуслуга,Очень прикладной запрос под текущую рекламу /services/reklama-v-yandeks-direkt/.
реклама клиники стоматологии,Низкий подтвержденный,Google Suggest,коммерческий,реклама стоматологии,средний,нишевая страница,Нужен как поддерживающий запрос внутри стоматологического рекламного лендинга.
реклама стоматологии,Высокий подтвержденный,Google Suggest + Yandex Suggest,коммерческий,реклама стоматологии,высокий,нишевая страница,Один из самых ценных коммерческих кластеров; отдельной страницы на сайте нет.
контекстная реклама для стоматологии,Высокий подтвержденный,Google Suggest + Yandex Suggest,коммерческий,реклама стоматологии,высокий,нишевая страница,Чистый закупочный интент; отдельный лендинг обязателен.
реклама стоматологической клиники,Средний подтвержденный,Google Suggest + Yandex Suggest,коммерческий,реклама стоматологии,высокий,нишевая страница,Синоним главного рекламного кластера стоматологии.
реклама стоматологических услуг,Средний подтвержденный,Yandex Suggest,коммерческий,реклама стоматологии,средний,нишевая страница,Полезно для раскрытия по услугам и офферам.
реклама стоматологии в интернете,Средний подтвержденный,Yandex Suggest,коммерческий,реклама стоматологии,средний,нишевая страница,Хорошо ложится в title/H2 и блоки с каналами трафика.
продвижение стоматологии яндекс директ,Низкий подтвержденный,Yandex Suggest,коммерческий,реклама стоматологии,средний,кейс,"Лучше раскрывать кейсом/подсервисом, а не отдельным лендингом."
продвижение стоматологии,Высокий подтвержденный,Google Suggest + Yandex Suggest,коммерческий,продвижение стоматологии,высокий,нишевая страница,Главный нишевой SEO-кластер сайта; посадочная уже есть.
продвижение стоматологической клиники,Высокий подтвержденный,Google Suggest + Yandex Suggest,коммерческий,продвижение стоматологии,высокий,нишевая страница,Стоит вписать как второй head-term текущей страницы стоматологии.
продвижение стоматологических услуг,Средний подтвержденный,Google Suggest,коммерческий,продвижение стоматологии,средний,нишевая страница,Запрос с более прикладным оффером по услугам.
seo продвижение стоматологии,Средний подтвержденный,Yandex Suggest,коммерческий,продвижение стоматологии,высокий,нишевая страница,Чистое SEO-вхождение для существующей посадочной.
сайт для стоматологии,Высокий подтвержденный,Google Suggest + Yandex Suggest,коммерческий,сайт для стоматологии,высокий,нишевая страница,Сильный кластер на разработку; страница уже есть.
сайт для стоматологической клиники,Высокий подтвержденный,Google Suggest + Yandex Suggest,коммерческий,сайт для стоматологии,высокий,нишевая страница,Нужно сделать вторым главным вхождением текущей страницы.
сайт для стоматологии заказать,Средний подтвержденный,Yandex Suggest,коммерческий,сайт для стоматологии,высокий,нишевая страница,Сильный transactional-modifier.
